School,Conference,Coach,SchoolPay,Bonus,BonusPaid,Buyout,GSR,FGR,Capacity,Enrollment,Revenues,W,L,Pct,Conf_W,Conf_L,Conf_Pct,AP_High,AP_Rank,BonusPctPaid,Ranked,Ranking,WinningSeason,SubstantialBonus,PowerFive,ACC,American,Big 12,Big Ten,Conference USA,FBS Independents,Mid-American,Mountain West,Pac-12,SEC,Sun Belt
LSU,SEC,Ed Orgeron,3500000,1575000,100000,5291667,0.61,0.28,100500,30800,122703938,9,4,0.69,6,2,0.75,12,18,0.0634920634920634,1,1,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0
Marshall,Conference USA,Doc Holliday,762570,145000,55000,1951708,0.81,0.66,38019,13200,13067058,8,5,0.62,4,4,0.5,0,0,0.3793103448275862,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0
Maryland,Big Ten,DJ Durkin,2512000,625000,0,5096178,0.83,0.73,54000,41200,49907652,4,8,0.33,2,7,0.22,0,0,0.0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Massachusetts,FBS Independents,Mark Whipple,500000,305000,20000,300000,0.7,0.61,68756,12300,32704695,4,8,0.33,4,8,0.33,0,0,0.0655737704918032,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
Memphis,American,Mike Norvell,2600000,775000,185000,7431667,0.9,0.62,62380,21500,19849064,10,3,0.77,7,1,0.88,16,25,0.2387096774193548,1,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0
Miami (Fla.),ACC,Mark Richt,4058061,1340000,225000,14528125,0.78,0.47,65236,24700,47820654,10,3,0.77,7,1,0.88,2,13,0.167910447761194,1,1,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Miami (Ohio),Mid-American,Chuck Martin,524826,582110,12669,522300,0.92,0.77,24286,22900,12608689,5,7,0.42,4,4,0.5,0,0,0.0217639277799728,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Michigan,Big Ten,Jim Harbaugh,7504000,1325000,150000,17111110,0.96,0.79,107601,46000,133665548,8,5,0.62,5,4,0.56,7,0,0.1132075471698113,1,0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Michigan State,Big Ten,Mark Dantonio,4390417,650000,125000,7000000,0.84,0.68,75005,50300,75674898,10,3,0.77,7,2,0.78,13,15,0.1923076923076923,1,1,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Middle Tennessee,Conference USA,Rick Stockstill,801504,126142,65142,6633774,0.95,0.64,31000,21900,13572649,7,6,0.54,4,4,0.5,0,0,0.5164180051053574,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0
Minnesota,Big Ten,P.J. Fleck,3550000,900000,0,9291667,0.96,0.78,50805,47800,73576081,5,7,0.42,2,7,0.22,0,0,0.0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Mississippi,SEC,Matt Luke,3000000,1550000,375000,0,0.73,0.55,58580,30400,78736032,6,6,0.5,3,5,0.38,0,0,0.2419354838709677,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Mississippi State,SEC,Joe Moorhead,2600000,1350000,375000,0,0.74,0.62,64038,22200,50754094,9,4,0.69,4,4,0.5,16,19,0.2777777777777778,1,1,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Missouri,SEC,Barry Odom,2350000,1025000,375000,1912500,0.77,0.55,71004,30000,42568466,7,6,0.54,4,4,0.5,0,0,0.3658536585365853,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Navy,American,Ken Niumatalolo,2163000,775000,45000,2112500,0.89,0.89,34000,4600,22231011,7,6,0.54,4,4,0.5,25,0,0.0580645161290322,1,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0
Nebraska,Big Ten,Scott Frost,5000000,950000,125000,25416667,0.9,0.65,92000,25800,93990274,4,8,0.33,3,6,0.33,0,0,0.131578947368421,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Nevada,Mountain West,Jay Norvell,500000,210000,0,900000,0.84,0.62,29993,21600,14023542,3,9,0.25,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
Nevada-Las Vegas,Mountain West,Tony Sanchez,600000,260000,0,950000,0.74,0.61,36800,25500,14741875,5,7,0.42,4,4,0.5,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
New Mexico,Mountain West,Bob Davie,822690,340000,0,1303294,0.65,0.42,39224,26300,16789019,3,9,0.25,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
New Mexico State,FBS Independents,Doug Martin,419640,220000,20000,1532790,0.83,0.63,30343,21900,7969929,7,6,0.54,4,4,0.5,0,0,0.0909090909090909,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0
North Carolina,ACC,Larry Fedora,2575000,900000,50000,12215625,0.66,0.55,62980,29800,50024180,3,9,0.25,1,7,0.13,0,0,0.0555555555555555,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0
North Carolina State,ACC,Dave Doeren,3000000,1350000,275000,6125000,0.74,0.55,57583,24700,51911816,9,4,0.69,6,2,0.75,14,23,0.2037037037037037,1,1,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
North Texas,Conference USA,Seth Littrell,1425000,580000,130000,4425000,0.83,0.62,30850,39400,15870821,9,5,0.64,7,1,0.88,0,0,0.2241379310344827,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Northern Illinois,Mid-American,Rod Carey,633460,205000,42500,1822918,0.82,0.63,24000,20000,10300855,8,5,0.62,6,2,0.75,0,0,0.2073170731707317,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Northwestern,Big Ten,Pat Fitzgerald,3619775,980000,125000,12636991,0.97,0.94,47130,21200,58545202,10,3,0.77,7,2,0.78,17,17,0.1275510204081632,1,1,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Notre Dame,FBS Independents,Brian Kelly,2129638,262500,20000,916395,0.91,0.8,77622,12300,118740294,10,3,0.77,10,3,0.77,3,11,0.0761904761904762,1,1,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0
Ohio,Mid-American,Frank Solich,580331,333833,60772,558275,0.91,0.77,24000,34900,14749167,9,4,0.69,5,3,0.63,0,0,0.1820431173670667,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0
