School,Conference,State,GSR,FGR
Western Michigan ,Mid-American Conference,MI,0.74,0.4
William & Mary,Colonial Athletic Association,VA,0.72,0.69
 Wisconsin-Madison,Big Ten Conference,WI,0.9,0.81
 Wyoming,Mountain West Conference,WY,0.87,0.52
Yale ,The Ivy League,CT,0.98,0
Youngstown State ,Missouri Valley Football Conference,OH,0.66,0.46
 Central Arkansas,Southland Conference,AR,0.76,0.6
Elon ,Colonial Athletic Association,NC,0.98,0.83
Gardner-Webb ,Big South Conference,NC,0.78,0.63
Kennesaw State ,Big South Conference,GA,0.71,0.62
Presbyterian College,Independent,SC,0.82,0.66
Tarleton State ,Independent,TX,0.5,0.45
" Arkansas, Pine Bluff",Southwestern Athletic Conf.,AR,0.68,0.44
 the Incarnate Word,Southland Conference,TX,0.83,0.63
Wofford College,Southern Conference,SC,0.92,0.81
Dixie State ,Independent,UT,0.49,0.28
